DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
24 March 2019 18:15,4670,-,All Island
24 March 2019 18:30,4721,-,All Island
24 March 2019 18:45,4753,-,All Island
24 March 2019 19:00,4883,-,All Island
24 March 2019 19:15,4990,-,All Island
24 March 2019 19:30,4982,-,All Island
24 March 2019 19:45,4976,-,All Island
24 March 2019 20:00,4924,-,All Island
24 March 2019 20:15,4854,-,All Island
24 March 2019 20:30,4769,-,All Island
24 March 2019 20:45,4710,-,All Island
24 March 2019 21:00,4630,-,All Island
24 March 2019 21:15,4551,-,All Island
24 March 2019 21:30,4447,-,All Island
24 March 2019 21:45,4313,-,All Island
24 March 2019 22:00,4203,-,All Island
24 March 2019 22:15,4085,-,All Island
24 March 2019 22:30,4005,-,All Island
24 March 2019 22:45,3892,-,All Island
24 March 2019 23:00,3823,-,All Island
24 March 2019 23:15,3797,-,All Island
24 March 2019 23:30,3703,-,All Island
24 March 2019 23:45,3630,-,All Island
25 March 2019 00:00,3565,-,All Island
25 March 2019 00:15,3496,-,All Island
25 March 2019 00:30,3456,-,All Island
25 March 2019 00:45,3390,-,All Island
25 March 2019 01:00,3333,-,All Island
25 March 2019 01:15,3329,-,All Island
25 March 2019 01:30,3288,-,All Island
25 March 2019 01:45,3233,-,All Island
25 March 2019 02:00,3200,-,All Island
25 March 2019 02:15,3175,-,All Island
25 March 2019 02:30,3145,-,All Island
25 March 2019 02:45,3129,-,All Island
25 March 2019 03:00,3119,-,All Island
25 March 2019 03:15,3110,-,All Island
25 March 2019 03:30,3107,-,All Island
